tweet,label,tokens,filtered_tokens
ka aba fie 🙆‍♂️ sika no ahye 😅,negative,"['ka', 'aba', 'fie', '🙆', '\u200d', '♂', '️', 'sika', 'no', 'ahye', '😅']","['aba', 'fie', '🙆', '\u200d', '♂', '️', 'sika', 'ahye', '😅']"
this match dea ewuradze boa yɛn wai enya saa dea la wu ooo lawu 🏃🏃🏃🏃🏃🏃🏃🔙,negative,"['this', 'match', 'dea', 'ewuradze', 'boa', 'yɛn', 'wai', 'enya', 'saa', 'dea', 'la', 'wu', 'ooo', 'lawu', '🏃', '🏃', '🏃', '🏃', '🏃', '🏃', '🏃', '🔙']","['match', 'dea', 'ewuradze', 'boa', 'wai', 'enya', 'saa', 'dea', 'la', 'wu', 'ooo', 'lawu', '🏃', '🏃', '🏃', '🏃', '🏃', '🏃', '🏃', '🔙']"
hwan nso na ablocki me w suro h no,negative,"['hwan', 'nso', 'na', 'ablocki', 'me', 'w', 'suro', 'h', 'no']","['hwan', 'ablocki', 'w', 'suro', 'h']"
yetse sika so nnso akom di yen the most wicked vibe😭😭,negative,"['yetse', 'sika', 'so', 'nnso', 'akom', 'di', 'yen', 'the', 'most', 'wicked', 'vibe', '😭', '😭']","['yetse', 'sika', 'nnso', 'akom', 'yen', 'wicked', 'vibe', '😭', '😭']"
herh rockstar gyae gyimie nu wai seb wele kontomire too dey kanye west song inside arh,negative,"['herh', 'rockstar', 'gyae', 'gyimie', 'nu', 'wai', 'seb', 'wele', 'kontomire', 'too', 'dey', 'kanye', 'west', 'song', 'inside', 'arh']","['herh', 'rockstar', 'gyae', 'gyimie', 'nu', 'wai', 'seb', 'wele', 'kontomire', 'dey', 'kanye', 'west', 'song', 'inside', 'arh']"
will smith yɛ me ba anka bu a mɛ bu nu nerr,negative,"['will', 'smith', 'yɛ', 'me', 'ba', 'anka', 'bu', 'a', 'mɛ', 'bu', 'nu', 'nerr']","['smith', 'anka', 'bu', 'mɛ', 'bu', 'nu', 'nerr']"
adwaman nti wo nni ahotɔ 🤣🤣🤣,negative,"['adwaman', 'nti', 'wo', 'nni', 'ahotɔ', '🤣', '🤣', '🤣']","['adwaman', 'nti', 'nni', 'ahotɔ', '🤣', '🤣', '🤣']"
ɛnkwadaa wei deɛ anka omodeɛ ne do switch ne nakeyaat na send me nudes ne touch it ɛfa wo ho bɛn😃,negative,"['ɛnkwadaa', 'wei', 'deɛ', 'anka', 'omodeɛ', 'ne', 'do', 'switch', 'ne', 'nakeyaat', 'na', 'send', 'me', 'nudes', 'ne', 'touch', 'it', 'ɛfa', 'wo', 'ho', 'bɛn', '😃']","['ɛnkwadaa', 'wei', 'deɛ', 'anka', 'omodeɛ', 'switch', 'nakeyaat', 'send', 'nudes', 'touch', 'ɛfa', 'bɛn', '😃']"
herr gyae gyimie no na its early morning aaaah ma num koaraa atɔ,negative,"['herr', 'gyae', 'gyimie', 'no', 'na', 'its', 'early', 'morning', 'aaaah', 'ma', 'num', 'koaraa', 'atɔ']","['herr', 'gyae', 'gyimie', 'early', 'morning', 'aaaah', 'num', 'koaraa', 'atɔ']"
wonni vision baako sei,negative,"['wonni', 'vision', 'baako', 'sei']","['wonni', 'vision', 'baako', 'sei']"
eeeiii y u bore so,negative,"['eeeiii', 'y', 'u', 'bore', 'so']","['eeeiii', 'u', 'bore']"
wonni nyansa baako mpo sei,negative,"['wonni', 'nyansa', 'baako', 'mpo', 'sei']","['wonni', 'nyansa', 'baako', 'mpo', 'sei']"
ah na girl nu wagyimi anaa,negative,"['ah', 'na', 'girl', 'nu', 'wagyimi', 'anaa']","['ah', 'girl', 'nu', 'wagyimi', 'anaa']"
😂 ne mo nn wo p aboa na wanya no aa,negative,"['😂', 'ne', 'mo', 'nn', 'wo', 'p', 'aboa', 'na', 'wanya', 'no', 'aa']","['😂', 'nn', 'p', 'aboa', 'wanya']"
sika nti kwasia gyimie be y chairman,negative,"['sika', 'nti', 'kwasia', 'gyimie', 'be', 'y', 'chairman']","['sika', 'nti', 'kwasia', 'gyimie', 'chairman']"
vodafone ne papa nu s other networks nu di jon fuo nkoaa 🥳,negative,"['vodafone', 'ne', 'papa', 'nu', 's', 'other', 'networks', 'nu', 'di', 'jon', 'fuo', 'nkoaa', '🥳']","['vodafone', 'papa', 'nu', 'networks', 'nu', 'jon', 'fuo', 'nkoaa', '🥳']"
hye gu wai na oman no mu ay den aa wosee yn mmdi wo dwa 😂😂,negative,"['hye', 'gu', 'wai', 'na', 'oman', 'no', 'mu', 'ay', 'den', 'aa', 'wosee', 'yn', 'mmdi', 'wo', 'dwa', '😂', '😂']","['hye', 'gu', 'wai', 'oman', 'ay', 'den', 'wosee', 'yn', 'mmdi', 'dwa', '😂', '😂']"
woankasa wagyimi nti i wont mind u sia barima gyimifo tese woi dont hav to mind u,negative,"['woankasa', 'wagyimi', 'nti', 'i', 'wont', 'mind', 'u', 'sia', 'barima', 'gyimifo', 'tese', 'woi', 'dont', 'hav', 'to', 'mind', 'u']","['woankasa', 'wagyimi', 'nti', 'wont', 'mind', 'u', 'sia', 'barima', 'gyimifo', 'tese', 'woi', 'dont', 'hav', 'mind', 'u']"
baako suro ayigbe mafia anaa,negative,"['baako', 'suro', 'ayigbe', 'mafia', 'anaa']","['baako', 'suro', 'ayigbe', 'mafia', 'anaa']"
gay man de anka messi ne barcelana fawu hu bn,negative,"['gay', 'man', 'de', 'anka', 'messi', 'ne', 'barcelana', 'fawu', 'hu', 'bn']","['gay', 'man', 'anka', 'messi', 'barcelana', 'fawu', 'hu', 'bn']"
makɔbre me moja ani atua me billslight no nso gyina so s kurasini ne heels,negative,"['makɔbre', 'me', 'moja', 'ani', 'atua', 'me', 'billslight', 'no', 'nso', 'gyina', 'so', 's', 'kurasini', 'ne', 'heels']","['makɔbre', 'moja', 'ani', 'atua', 'billslight', 'gyina', 'kurasini', 'heels']"
te amo kinda difficult lol 😩,negative,"['te', 'amo', 'kinda', 'difficult', 'lol', '😩']","['te', 'amo', 'kinda', 'difficult', 'lol', '😩']"
accra fo ne aho yaa🖕🏼🖕🏼 siato,negative,"['accra', 'fo', 'ne', 'aho', 'yaa', '🖕', '🏼', '🖕', '🏼', 'siato']","['accra', 'fo', 'aho', 'yaa', '🖕', '🏼', '🖕', '🏼', 'siato']"
obaa na wode no toto nyame eeeii case nehu oo,negative,"['obaa', 'na', 'wode', 'no', 'toto', 'nyame', 'eeeii', 'case', 'nehu', 'oo']","['obaa', 'wode', 'toto', 'nyame', 'eeeii', 'case', 'nehu', 'oo']"
algeria mmoa double chance kk u spoiled my longbet nkwaseafo nyame na atua mo ka agyimifo,negative,"['algeria', 'mmoa', 'double', 'chance', 'kk', 'u', 'spoiled', 'my', 'longbet', 'nkwaseafo', 'nyame', 'na', 'atua', 'mo', 'ka', 'agyimifo']","['algeria', 'mmoa', 'double', 'chance', 'kk', 'u', 'spoiled', 'longbet', 'nkwaseafo', 'nyame', 'atua', 'agyimifo']"
jimifuor baako nso nie,negative,"['jimifuor', 'baako', 'nso', 'nie']","['jimifuor', 'baako', 'nie']"
kofi way yawa oh wo team no ay beans,negative,"['kofi', 'way', 'yawa', 'oh', 'wo', 'team', 'no', 'ay', 'beans']","['kofi', 'way', 'yawa', 'oh', 'team', 'ay', 'beans']"
wu ankasa wu yɛ bayifoɔ bibiaa nyɛ wu fɛ,negative,"['wu', 'ankasa', 'wu', 'yɛ', 'bayifoɔ', 'bibiaa', 'nyɛ', 'wu', 'fɛ']","['wu', 'ankasa', 'wu', 'bayifoɔ', 'bibiaa', 'nyɛ', 'wu', 'fɛ']"
sika nni wo botom a wo ti te sɛ dwan ti,negative,"['sika', 'nni', 'wo', 'botom', 'a', 'wo', 'ti', 'te', 'sɛ', 'dwan', 'ti']","['sika', 'nni', 'botom', 'ti', 'te', 'sɛ', 'dwan', 'ti']"
wo ti pafoo s form nii chop box😭😭,negative,"['wo', 'ti', 'pafoo', 's', 'form', 'nii', 'chop', 'box', '😭', '😭']","['ti', 'pafoo', 'form', 'nii', 'chop', 'box', '😭', '😭']"
wo ho sɛ deɛ yatwe wonsono afa wo yɛm wate jeansman,negative,"['wo', 'ho', 'sɛ', 'deɛ', 'yatwe', 'wonsono', 'afa', 'wo', 'yɛm', 'wate', 'jeansman']","['sɛ', 'deɛ', 'yatwe', 'wonsono', 'afa', 'yɛm', 'wate', 'jeansman']"
if this proverb was human adwene bne ba nipa ti mu a na ne nyansa so ate nka is,negative,"['if', 'this', 'proverb', 'was', 'human', 'adwene', 'bne', 'ba', 'nipa', 'ti', 'mu', 'a', 'na', 'ne', 'nyansa', 'so', 'ate', 'nka', 'is']","['proverb', 'human', 'adwene', 'bne', 'nipa', 'ti', 'nyansa', 'ate', 'nka']"
sika ho ayshi nti weed yn passi,negative,"['sika', 'ho', 'ayshi', 'nti', 'weed', 'yn', 'passi']","['sika', 'ayshi', 'nti', 'weed', 'yn', 'passi']"
aniwuo aka nnipa bebree 🤣🤣🤣🤣🤣🤣🤣🤣,negative,"['aniwuo', 'aka', 'nnipa', 'bebree', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣']","['aniwuo', 'aka', 'nnipa', 'bebree', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣']"
saa akoa no wagyimi tu,negative,"['saa', 'akoa', 'no', 'wagyimi', 'tu']","['saa', 'akoa', 'wagyimi', 'tu']"
😂 😂 me bo efu oo,negative,"['😂', '😂', 'me', 'bo', 'efu', 'oo']","['😂', '😂', 'bo', 'efu', 'oo']"
wo nim nyansa nti its far fetched for u,negative,"['wo', 'nim', 'nyansa', 'nti', 'its', 'far', 'fetched', 'for', 'u']","['nim', 'nyansa', 'nti', 'far', 'fetched', 'u']"
lols na i be macho ooo oh hmm,negative,"['lols', 'na', 'i', 'be', 'macho', 'ooo', 'oh', 'hmm']","['lols', 'macho', 'ooo', 'oh', 'hmm']"
wonni sika nso dabiaa wo wc bundleahiafoc mma ne magic 😂😂,negative,"['wonni', 'sika', 'nso', 'dabiaa', 'wo', 'wc', 'bundleahiafoc', 'mma', 'ne', 'magic', '😂', '😂']","['wonni', 'sika', 'dabiaa', 'wc', 'bundleahiafoc', 'mma', 'magic', '😂', '😂']"
gyimii saaa ne otan hunu nkoann,negative,"['gyimii', 'saaa', 'ne', 'otan', 'hunu', 'nkoann']","['gyimii', 'saaa', 'otan', 'hunu', 'nkoann']"
asem bn kraaaaa nie oh ama ghana,negative,"['asem', 'bn', 'kraaaaa', 'nie', 'oh', 'ama', 'ghana']","['asem', 'bn', 'kraaaaa', 'nie', 'oh', 'ama', 'ghana']"
afei koraa deɛ atra me,negative,"['afei', 'koraa', 'deɛ', 'atra', 'me']","['afei', 'koraa', 'deɛ', 'atra']"
s wo maame di konko na tua hor aboa ba pii,negative,"['s', 'wo', 'maame', 'di', 'konko', 'na', 'tua', 'hor', 'aboa', 'ba', 'pii']","['maame', 'konko', 'tua', 'hor', 'aboa', 'pii']"
grasshopper mpo na edey bore me 😔kingdomphylum ne de ekeka hoo💔😑,negative,"['grasshopper', 'mpo', 'na', 'edey', 'bore', 'me', '😔', 'kingdomphylum', 'ne', 'de', 'ekeka', 'hoo', '💔', '😑']","['grasshopper', 'mpo', 'edey', 'bore', '😔', 'kingdomphylum', 'ekeka', 'hoo', '💔', '😑']"
wo de jimie players nkoaaa 😂💔,negative,"['wo', 'de', 'jimie', 'players', 'nkoaaa', '😂', '💔']","['jimie', 'players', 'nkoaaa', '😂', '💔']"
ei nti africa bɛ yɛ yie na this way hmm sɛneɛ yaso ayɛ shi yi nabɛdiɛkyire bawumiaecons lecturer bɛtumi akyerɛ amarketifoɔ ama yɛn nsa akɔ yɛn ano ɛnyɛ saa yɛbɛ sensen ama ɔmo blue no ɛso mba mfasoɔ yie yie yie puie 😘🇦🇲🇬🇭⛈️⛈️⛈️,negative,"['ei', 'nti', 'africa', 'bɛ', 'yɛ', 'yie', 'na', 'this', 'way', 'hmm', 'sɛneɛ', 'yaso', 'ayɛ', 'shi', 'yi', 'nabɛdiɛkyire', 'bawumiaecons', 'lecturer', 'bɛtumi', 'akyerɛ', 'amarketifoɔ', 'ama', 'yɛn', 'nsa', 'akɔ', 'yɛn', 'ano', 'ɛnyɛ', 'saa', 'yɛbɛ', 'sensen', 'ama', 'ɔmo', 'blue', 'no', 'ɛso', 'mba', 'mfasoɔ', 'yie', 'yie', 'yie', 'puie', '😘', '🇦', '🇲', '🇬', '🇭', '⛈', '️', '⛈', '️', '⛈', '️']","['ei', 'nti', 'africa', 'bɛ', 'yie', 'way', 'hmm', 'sɛneɛ', 'yaso', 'ayɛ', 'shi', 'yi', 'nabɛdiɛkyire', 'bawumiaecons', 'lecturer', 'bɛtumi', 'akyerɛ', 'amarketifoɔ', 'ama', 'nsa', 'akɔ', 'ano', 'ɛnyɛ', 'saa', 'yɛbɛ', 'sensen', 'ama', 'ɔmo', 'blue', 'ɛso', 'mba', 'mfasoɔ', 'yie', 'yie', 'yie', 'puie', '😘', '🇦', '🇲', '🇬', '🇭', '⛈', '️', '⛈', '️', '⛈', '️']"
aden na wohw nyame anim twa ntr saa,negative,"['aden', 'na', 'wohw', 'nyame', 'anim', 'twa', 'ntr', 'saa']","['aden', 'wohw', 'nyame', 'anim', 'twa', 'ntr', 'saa']"
eeiii krɔnoo mu flawless victory,negative,"['eeiii', 'krɔnoo', 'mu', 'flawless', 'victory']","['eeiii', 'krɔnoo', 'flawless', 'victory']"
jack too wey nonsense dis wa titi mi followers nu su sɛy huuaaaah,negative,"['jack', 'too', 'wey', 'nonsense', 'dis', 'wa', 'titi', 'mi', 'followers', 'nu', 'su', 'sɛy', 'huuaaaah']","['jack', 'wey', 'nonsense', 'dis', 'wa', 'titi', 'mi', 'followers', 'nu', 'su', 'sɛy', 'huuaaaah']"
y b kor nsu na sh togo jeans ne getafe jersey mtchweeeee,negative,"['y', 'b', 'kor', 'nsu', 'na', 'sh', 'togo', 'jeans', 'ne', 'getafe', 'jersey', 'mtchweeeee']","['b', 'kor', 'nsu', 'sh', 'togo', 'jeans', 'getafe', 'jersey', 'mtchweeeee']"
ahhh admin wei wagyimi anaa,negative,"['ahhh', 'admin', 'wei', 'wagyimi', 'anaa']","['ahhh', 'admin', 'wei', 'wagyimi', 'anaa']"
ei wo ne gyimie 😂,negative,"['ei', 'wo', 'ne', 'gyimie', '😂']","['ei', 'gyimie', '😂']"
mo nti brofo nti mose spanish 😂😂😂,negative,"['mo', 'nti', 'brofo', 'nti', 'mose', 'spanish', '😂', '😂', '😂']","['nti', 'brofo', 'nti', 'mose', 'spanish', '😂', '😂', '😂']"
ashawofo na di valentine,negative,"['ashawofo', 'na', 'di', 'valentine']","['ashawofo', 'valentine']"
aden woakum obi anaa,negative,"['aden', 'woakum', 'obi', 'anaa']","['aden', 'woakum', 'obi', 'anaa']"
eii dis tym😂 woy baifoc anaa 😆,negative,"['eii', 'dis', 'tym', '😂', 'woy', 'baifoc', 'anaa', '😆']","['eii', 'dis', 'tym', '😂', 'woy', 'baifoc', 'anaa', '😆']"
nyame betua wo ka siaaaa 😂,negative,"['nyame', 'betua', 'wo', 'ka', 'siaaaa', '😂']","['nyame', 'betua', 'siaaaa', '😂']"
lol obiaa wosom nyame na wo kasa tantan saa no aw mb,negative,"['lol', 'obiaa', 'wosom', 'nyame', 'na', 'wo', 'kasa', 'tantan', 'saa', 'no', 'aw', 'mb']","['lol', 'obiaa', 'wosom', 'nyame', 'kasa', 'tantan', 'saa', 'aw', 'mb']"
wagyimi anaa militao ni alaba kwraa gyi sen,negative,"['wagyimi', 'anaa', 'militao', 'ni', 'alaba', 'kwraa', 'gyi', 'sen']","['wagyimi', 'anaa', 'militao', 'alaba', 'kwraa', 'gyi', 'sen']"
bella nso na no y kate kate papa 😂😂😂,negative,"['bella', 'nso', 'na', 'no', 'y', 'kate', 'kate', 'papa', '😂', '😂', '😂']","['bella', 'kate', 'kate', 'papa', '😂', '😂', '😂']"
u claim theres no money but delegates are receiving each yti sika so na y bl yasore afri sika noso mu kyiky basa basabasa 😂,negative,"['u', 'claim', 'theres', 'no', 'money', 'but', 'delegates', 'are', 'receiving', 'each', 'yti', 'sika', 'so', 'na', 'y', 'bl', 'yasore', 'afri', 'sika', 'noso', 'mu', 'kyiky', 'basa', 'basabasa', '😂']","['u', 'claim', 'theres', 'money', 'delegates', 'receiving', 'yti', 'sika', 'bl', 'yasore', 'afri', 'sika', 'noso', 'kyiky', 'basa', 'basabasa', '😂']"
gyae nsmhunu n fa wo bad luck k 😒😒😒😒,negative,"['gyae', 'nsmhunu', 'n', 'fa', 'wo', 'bad', 'luck', 'k', '😒', '😒', '😒', '😒']","['gyae', 'nsmhunu', 'n', 'fa', 'bad', 'luck', 'k', '😒', '😒', '😒', '😒']"
na chilwell no wagyimi anaa🤨,negative,"['na', 'chilwell', 'no', 'wagyimi', 'anaa', '🤨']","['chilwell', 'wagyimi', 'anaa', '🤨']"
ghanaian gyals ne gyimii hw din bi s lee min hoo,negative,"['ghanaian', 'gyals', 'ne', 'gyimii', 'hw', 'din', 'bi', 's', 'lee', 'min', 'hoo']","['ghanaian', 'gyals', 'gyimii', 'hw', 'din', 'lee', 'min', 'hoo']"
hw nea cckyer ne ne nufu nketewa bi mtchew,negative,"['hw', 'nea', 'cckyer', 'ne', 'ne', 'nufu', 'nketewa', 'bi', 'mtchew']","['hw', 'nea', 'cckyer', 'nufu', 'nketewa', 'mtchew']"
ahbarcelona paaammoa nni sikananso wcp top players😂😂😂😂😂,negative,"['ahbarcelona', 'paaammoa', 'nni', 'sikananso', 'wcp', 'top', 'players', '😂', '😂', '😂', '😂', '😂']","['ahbarcelona', 'paaammoa', 'nni', 'sikananso', 'wcp', 'top', 'players', '😂', '😂', '😂', '😂', '😂']"
gyama wɔ bɔ dam,negative,"['gyama', 'wɔ', 'bɔ', 'dam']","['gyama', 'bɔ', 'dam']"
eii bikini nso yde hy underwear ama de ly bn nso nie🙄😤,negative,"['eii', 'bikini', 'nso', 'yde', 'hy', 'underwear', 'ama', 'de', 'ly', 'bn', 'nso', 'nie', '🙄', '😤']","['eii', 'bikini', 'yde', 'hy', 'underwear', 'ama', 'ly', 'bn', 'nie', '🙄', '😤']"
yte sika so nanso km di yen yte mmaa ho nanso tw km di yen 😭😭😭,negative,"['yte', 'sika', 'so', 'nanso', 'km', 'di', 'yen', 'yte', 'mmaa', 'ho', 'nanso', 'tw', 'km', 'di', 'yen', '😭', '😭', '😭']","['yte', 'sika', 'nanso', 'km', 'yen', 'yte', 'mmaa', 'nanso', 'tw', 'km', 'yen', '😭', '😭', '😭']"
nice guy wo brofo basaa yka s sua ade a wodwene s yreya wo,negative,"['nice', 'guy', 'wo', 'brofo', 'basaa', 'yka', 's', 'sua', 'ade', 'a', 'wodwene', 's', 'yreya', 'wo']","['nice', 'guy', 'brofo', 'basaa', 'yka', 'sua', 'ade', 'wodwene', 'yreya']"
wasa wasa wasa boss ne ti awu paaaaa,negative,"['wasa', 'wasa', 'wasa', 'boss', 'ne', 'ti', 'awu', 'paaaaa']","['wasa', 'wasa', 'wasa', 'boss', 'ti', 'awu', 'paaaaa']"
suro nipa mmarima bi nso ny,negative,"['suro', 'nipa', 'mmarima', 'bi', 'nso', 'ny']","['suro', 'nipa', 'mmarima', 'ny']"
wo dier wo gyimii nu 😂,negative,"['wo', 'dier', 'wo', 'gyimii', 'nu', '😂']","['dier', 'gyimii', 'nu', '😂']"
fa wo tro sorehc saaa na mo nim naaa daaa nkoaa mctwwe,negative,"['fa', 'wo', 'tro', 'sorehc', 'saaa', 'na', 'mo', 'nim', 'naaa', 'daaa', 'nkoaa', 'mctwwe']","['fa', 'tro', 'sorehc', 'saaa', 'nim', 'naaa', 'daaa', 'nkoaa', 'mctwwe']"
pele u wan disgrace me keke eii,negative,"['pele', 'u', 'wan', 'disgrace', 'me', 'keke', 'eii']","['pele', 'u', 'wan', 'disgrace', 'keke', 'eii']"
real nigga paa na adwuma adi me sei,negative,"['real', 'nigga', 'paa', 'na', 'adwuma', 'adi', 'me', 'sei']","['real', 'nigga', 'paa', 'adwuma', 'adi', 'sei']"
minute biaa na trumu trumu fuo news nso nam mueii me de adey move to mars oo cos earth ha de nsem sisi,negative,"['minute', 'biaa', 'na', 'trumu', 'trumu', 'fuo', 'news', 'nso', 'nam', 'mueii', 'me', 'de', 'adey', 'move', 'to', 'mars', 'oo', 'cos', 'earth', 'ha', 'de', 'nsem', 'sisi']","['minute', 'biaa', 'trumu', 'trumu', 'fuo', 'news', 'nam', 'mueii', 'adey', 'move', 'mars', 'oo', 'cos', 'earth', 'ha', 'nsem', 'sisi']"
adwene nay adwuma ah body nu br,negative,"['adwene', 'nay', 'adwuma', 'ah', 'body', 'nu', 'br']","['adwene', 'nay', 'adwuma', 'ah', 'body', 'nu', 'br']"
journalist albert maka ahh maka wontumi nkyere me hweee✌️✌️,negative,"['journalist', 'albert', 'maka', 'ahh', 'maka', 'wontumi', 'nkyere', 'me', 'hweee', '✌', '️', '✌', '️']","['journalist', 'albert', 'maka', 'ahh', 'maka', 'wontumi', 'nkyere', 'hweee', '✌', '️', '✌', '️']"
🙄🙄🙄🙄enti waa de wo y nti y,negative,"['🙄', '🙄', '🙄', '🙄', 'enti', 'waa', 'de', 'wo', 'y', 'nti', 'y']","['🙄', '🙄', '🙄', '🙄', 'enti', 'waa', 'nti']"
nti na information minister wonso wo wc ha no 🙌🤣,negative,"['nti', 'na', 'information', 'minister', 'wonso', 'wo', 'wc', 'ha', 'no', '🙌', '🤣']","['nti', 'information', 'minister', 'wonso', 'wc', 'ha', '🙌', '🤣']"
ahiafoɔ ni nkwasia suggestions diɛ obi sika nanso wu kyere nu diɛ ɔnfa nyɛ,negative,"['ahiafoɔ', 'ni', 'nkwasia', 'suggestions', 'diɛ', 'obi', 'sika', 'nanso', 'wu', 'kyere', 'nu', 'diɛ', 'ɔnfa', 'nyɛ']","['ahiafoɔ', 'nkwasia', 'suggestions', 'diɛ', 'obi', 'sika', 'nanso', 'wu', 'kyere', 'nu', 'diɛ', 'ɔnfa', 'nyɛ']"
philip dier ong ne huŋ y me hiŋ tu😂😂😂,negative,"['philip', 'dier', 'ong', 'ne', 'huŋ', 'y', 'me', 'hiŋ', 'tu', '😂', '😂', '😂']","['philip', 'dier', 'ong', 'huŋ', 'hiŋ', 'tu', '😂', '😂', '😂']"
you baarb😂😂😂😂 tiwuii ne ahantan,negative,"['you', 'baarb', '😂', '😂', '😂', '😂', 'tiwuii', 'ne', 'ahantan']","['baarb', '😂', '😂', '😂', '😂', 'tiwuii', 'ahantan']"
wadwen soa a nnfa nhy sam george wai gtfo na wagyimi dodo,negative,"['wadwen', 'soa', 'a', 'nnfa', 'nhy', 'sam', 'george', 'wai', 'gtfo', 'na', 'wagyimi', 'dodo']","['wadwen', 'soa', 'nnfa', 'nhy', 'sam', 'george', 'wai', 'gtfo', 'wagyimi', 'dodo']"
co ask and nyansa baako se nni mu,negative,"['co', 'ask', 'and', 'nyansa', 'baako', 'se', 'nni', 'mu']","['co', 'ask', 'nyansa', 'baako', 'nni']"
gyimii ne ta nkoaa,negative,"['gyimii', 'ne', 'ta', 'nkoaa']","['gyimii', 'ta', 'nkoaa']"
tsatsu tsikata is the law buh min biaaaa dismissal of his case nam mu 🤣🤣🤣 hes the law now nu atɔ nsuom,negative,"['tsatsu', 'tsikata', 'is', 'the', 'law', 'buh', 'min', 'biaaaa', 'dismissal', 'of', 'his', 'case', 'nam', 'mu', '🤣', '🤣', '🤣', 'hes', 'the', 'law', 'now', 'nu', 'atɔ', 'nsuom']","['tsatsu', 'tsikata', 'law', 'buh', 'min', 'biaaaa', 'dismissal', 'case', 'nam', '🤣', '🤣', '🤣', 'hes', 'law', 'nu', 'atɔ', 'nsuom']"
na wo woho bi,negative,"['na', 'wo', 'woho', 'bi']",['woho']
wo yale oooo eiiii 😂😋,negative,"['wo', 'yale', 'oooo', 'eiiii', '😂', '😋']","['yale', 'oooo', 'eiiii', '😂', '😋']"
min hu so koraa oh,negative,"['min', 'hu', 'so', 'koraa', 'oh']","['min', 'hu', 'koraa', 'oh']"
lmao wa ha me paa 😩😆😆😩,negative,"['lmao', 'wa', 'ha', 'me', 'paa', '😩', '😆', '😆', '😩']","['lmao', 'wa', 'ha', 'paa', '😩', '😆', '😆', '😩']"
nti wodi brofo nu na nkyer hwee ma wo ok😅😅,negative,"['nti', 'wodi', 'brofo', 'nu', 'na', 'nkyer', 'hwee', 'ma', 'wo', 'ok', '😅', '😅']","['nti', 'wodi', 'brofo', 'nu', 'nkyer', 'hwee', 'ok', '😅', '😅']"
s gyimie paa nie nyansa baako p mpo sei nni wo tri mu,negative,"['s', 'gyimie', 'paa', 'nie', 'nyansa', 'baako', 'p', 'mpo', 'sei', 'nni', 'wo', 'tri', 'mu']","['gyimie', 'paa', 'nie', 'nyansa', 'baako', 'p', 'mpo', 'sei', 'nni', 'tri']"
wote ejisu pe light masa fa won dede da na ahodwonhyiaeso nyinaa aye sum 🤣🤣😂🤣,negative,"['wote', 'ejisu', 'pe', 'light', 'masa', 'fa', 'won', 'dede', 'da', 'na', 'ahodwonhyiaeso', 'nyinaa', 'aye', 'sum', '🤣', '🤣', '😂', '🤣']","['wote', 'ejisu', 'pe', 'light', 'masa', 'fa', 'dede', 'ahodwonhyiaeso', 'nyinaa', 'aye', 'sum', '🤣', '🤣', '😂', '🤣']"
pochetino nso dierr nanka trophy fa wo ho ben,negative,"['pochetino', 'nso', 'dierr', 'nanka', 'trophy', 'fa', 'wo', 'ho', 'ben']","['pochetino', 'dierr', 'nanka', 'trophy', 'fa', 'ben']"
omar sterling en rap saf we dey understand na obibinii apuu 😂,negative,"['omar', 'sterling', 'en', 'rap', 'saf', 'we', 'dey', 'understand', 'na', 'obibinii', 'apuu', '😂']","['omar', 'sterling', 'en', 'rap', 'saf', 'dey', 'understand', 'obibinii', 'apuu', '😂']"
ne brfo kraa ny me d 😂😂,negative,"['ne', 'brfo', 'kraa', 'ny', 'me', 'd', '😂', '😂']","['brfo', 'kraa', 'ny', '😂', '😂']"
nanim kasii ne bone straight hmm,negative,"['nanim', 'kasii', 'ne', 'bone', 'straight', 'hmm']","['nanim', 'kasii', 'bone', 'straight', 'hmm']"
hwe wo kc ma protest 🤣🤣🤣🤣🤣🤣🤣,negative,"['hwe', 'wo', 'kc', 'ma', 'protest', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣']","['hwe', 'kc', 'protest', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣']"
mo na moo bl oo 😂😂😂,negative,"['mo', 'na', 'moo', 'bl', 'oo', '😂', '😂', '😂']","['moo', 'bl', 'oo', '😂', '😂', '😂']"
drama king award ma fre ama akoa no tu😂😂😂,negative,"['drama', 'king', 'award', 'ma', 'fre', 'ama', 'akoa', 'no', 'tu', '😂', '😂', '😂']","['drama', 'king', 'award', 'fre', 'ama', 'akoa', 'tu', '😂', '😂', '😂']"
mo na mo bl ooh 😅,negative,"['mo', 'na', 'mo', 'bl', 'ooh', '😅']","['bl', 'ooh', '😅']"
wu y wu hu bi,negative,"['wu', 'y', 'wu', 'hu', 'bi']","['wu', 'wu', 'hu']"
gyae gyimie no na sore,negative,"['gyae', 'gyimie', 'no', 'na', 'sore']","['gyae', 'gyimie', 'sore']"
eiiii wo gyimmie ooo 😂😂😂,negative,"['eiiii', 'wo', 'gyimmie', 'ooo', '😂', '😂', '😂']","['eiiii', 'gyimmie', 'ooo', '😂', '😂', '😂']"
nyame betua mo ka paa,negative,"['nyame', 'betua', 'mo', 'ka', 'paa']","['nyame', 'betua', 'paa']"
